Product Title,Seller SKU Id,Sub-category,Listing Status,MRP,Your Selling Price,Fulfillment By,System Stock count,Procurement SLA,Procurement Type,Package Length - Length of the package in cms,Package Breadth - Breadth of the package in cms,Package Height - Height of the package in cms,Package Weight - Weight of the package in Kgs,Local Delivery Charge to Customer (per qty),Zonal Delivery Charge to Customer (per qty),National Delivery Charge to Customer (per qty),Harmonized System Nomenclature - HSN,Tax Code,Country of Origin ISO code,Listing Archival
Ikigai hindi,Ikigai hindi,book,ACTIVE,999,239,Seller,20,1,express,15,3,25,0.3,0,0,0,49011010,GST_0,IN,NONE
"100 Baggers (English) (Hardcover, Mayer Christopher W)",100 Baggers (English),book,ACTIVE,499,238,Seller,0,1,express,15,3,25,0.3,0,0,0,49011010,GST_0,IN,NONE
"100 Baggers (English, Paperback, Mayer Christopher W)",100 Baggers,book,ACTIVE,399,285,Seller,0,1,express,15,3,25,0.3,0,0,0,49011010,GST_0,IN,NONE
"100 Baggers (Paperback, Christopher W. Mayer)","100 Baggers  (Paperback, Christopher W. Mayer, English)",book,ACTIVE,699,398,Seller,0,1,express,15,3,25,0.3,0,0,0,49011010,GST_0,IN,NONE
"100 Baggers (Paperback, Christopher W. Mayer)","100 Baggers  (Paperback, Christopher W. Mayer)",book,ACTIVE,499,238,Seller,0,1,express,15,3,25,0.3,0,0,0,49011010,GST_0,IN,NONE
"100 Baggers (Paperback, Christopher W. Mayer)","100 Baggers  (Paperback, English)",book,ACTIVE,499,257,Seller,0,1,express,15,3,25,0.3,0,0,0,49011010,GST_0,IN,NONE
"100 Baggers (Paperback, Christopher W. Mayer)","100 Baggers(Paperback, Christopher W. Mayer)",book,ACTIVE,559,241,Seller,0,1,express,15,3,25,0.3,0,0,0,49011010,GST_0,IN,NONE
"100 Baggers: Stocks That Return 100-to-1 and How To Find Them (Hardcover, Christopher W. Mayer)",100 Baggers (Hardcover),book,ACTIVE,499,458,Seller,20,1,express,15,3,20,0.4,0,0,0,49011010,GST_0,IN,NONE
"101 Essays that Will Change the Way You Think + Deep Work (2 Book Combo) (Paperback, JMD BOOKS)",101 Essays that Will Change the Way You Think + Deep Work,book,ACTIVE,1599,469,Seller,20,1,express,15,3,20,0.4,0,0,0,49011010,GST_0,IN,NONE
"30 DAYS Change Your Habits, Change Your Life ( Marathi ) (Paperback, Shubhangi Ranade - Bindu)","30 DAYS Change Your Habits, Change Your Life ( Marathi )",book,ACTIVE,300,270,Seller,0,1,express,15,3,25,0.3,0,0,0,49011010,GST_0,IN,NONE
"4 Book Set by Freida McFadden ( One By One & The Perfect Son & The Ex & Ward D ) (Paperback, Freida McFadden)",4 Book Set by Freida McFadden ,book,ACTIVE,1899,738,Seller,18,1,express,15,3,25,1,0,0,0,49011010,GST_0,IN,NONE
"A Gentleman in Moscow (English, Paperback, Towles Amor)",Gentleman in Moscow. English  Paperback,book,ACTIVE,2055,599,Seller,5,1,express,15,20,3,0.4,0,0,0,49011010,GST_0,IN,NONE
"A Gentleman in Moscow Paperback – Notebook, 2 November 2017
by Amor Towles (Author) (Paperback, Amor Towles)",A Gentleman in Moscow,book,ACTIVE,599,403,Seller,20,1,express,15,3,25,0.2,0,0,0,49011010,GST_0,IN,NONE
"A Little Life (English, Paperback, Yanagihara Hanya)",A Little Life ,book,ACTIVE,1999,400,Seller,20,1,express,15,3,20,0.3,0,0,0,49011010,GST_0,IN,NONE
"A Little Life And A Man Called Ove (2 Book Combo) (Paperback, JMD BOOKS)",A Little Life And A Man Called Ove (2 Book Combo),book,ACTIVE,1999,478,Seller,20,1,express,15,3,20,0.5,0,0,0,49011010,GST_0,IN,NONE
"A Man Called Ove (English, Paperback, Backman Fredrik)",A Man Called Ove,book,ACTIVE,399,390,Seller,0,1,express,15,3,20,0.2,0,0,0,49011010,GST_0,IN,NONE
"AGNIPANKH (Marathi, Paperback, A,P.J.ABDUL KALAM)",AGNIPANKH  ,book,ACTIVE,250,235,Seller,13,1,express,15,3,25,0.3,0,0,0,49011010,GST_0,IN,NONE
