Seller SKU ID,ISBN13,Title,Author,Publisher,Binding,Language,Book Subcategory,Main Image URL,Other Image URL 1,Other Image URL 2,Other Image URL 3,Other Image URL 4,Other Image URL 5,Other Image URL 6,Other Image URL 7,Other Image URL 8,Other Image URL 9,Other Image URL 10,Edition,Publication Year,Pages,Genre,Items Included,ISBN10,About Author,Description,Pack of,Genre New,Book Category
Ikigai hindi,9787337590657,Ikigai hindi,"Héctor García, Francesc Miralles",JMD BOOKS,Paperback,Hindi,Other Self-Help Books,https://img.fkcdn.com/image/xif0q/book/3/y/d/ikigai-hindi-hector-garcia-fransesc-miralles-art-of-staying-original-imahhgtyn9ktx4mm.jpeg,,,,,,,,,,,,,,,,,,,,,Other Books
"100 Baggers  (Paperback, English)",9780565994563,100 Baggers,Christopher W. Mayer,Christopher W. Mayer,Paperback,English,Other Books,https://img.fkcdn.com/image/xif0q/book/r/0/7/100-baggers-original-imah9k96cwxf88ef.jpeg,,,,,,,,,,,,,,,,,,,,,Other Books
"100 Baggers(Paperback, Christopher W. Mayer)",9788644662235,100 Baggers,Christopher W. Mayer,Christopher W. Mayer,Paperback,English,Other Books,https://img.fkcdn.com/image/xif0q/book/e/1/q/100-baggers-original-imah9f3n6qtazaxe.jpeg,,,,,,,,,,,,,,,,,,,,,Other Books
"100 Baggers  (Paperback, Christopher W. Mayer)",9788439251620,100 Baggers,Christopher W. Mayer,Christopher W. Mayer,Paperback,English,Other Self-Help Books,https://img.fkcdn.com/image/xif0q/book/r/0/7/100-baggers-original-imah9k96cwxf88ef.jpeg,,,,,,,,,,,,,,,,,,,,,Other Books
"100 Baggers  (Paperback, Christopher W. Mayer, English)",9781621291657,100 Baggers,Christopher W. Mayer,Laissez Faire Books,Paperback,English,Other Books,https://img.fkcdn.com/image/ki7qw7k0-0/book/0/l/y/100-baggers-original-imafy2yzvdqnfg4u.jpeg,,,,,,,,,,,,2015,210,BOOKS,,,,,,,Other Books
100 Baggers,9789391560553,100 Baggers,Mayer Christopher W,Sanage Publishing House LLP,Paperback,English,Finance and Accounting Books,https://img.fkcdn.com/image/xif0q/book/b/g/u/100-baggers-original-imahfg2kah6edsgj.jpeg,https://img.fkcdn.com/image/xif0q/book/c/k/z/100-baggers-original-imahe85rfawfbprv.jpeg,https://img.fkcdn.com/image/xif0q/book/e/0/m/100-baggers-original-imahe85rnsv6c9mr.jpeg,,,,,,,,,1,2022,228,Business & Economics,,,,,,"Economics, Finance & Business Management","Economics, Business and Management Books"
100 Baggers (English),9780164917222,100 Baggers  (English),Mayer Christopher W,Laissez Faire Book India.,Hardcover,English,Business and Management Books,https://img.fkcdn.com/image/xif0q/book/w/e/q/100-baggers-english-original-imahhgtyhe7hev8z.jpeg,,,,,,,,,,,first,2022,228,Business & Economics,,,,,,,Other Books
100 Baggers (Hardcover),9789394112193,100 Baggers: Stocks That Return 100-to-1 and How To Find Them,Christopher W. Mayer,SANAGE PUBLISHING HOUSE LLP,Hardcover,English,Economics Books,https://img.fkcdn.com/image/l0sgyvk0/book/a/s/4/100-baggers-stocks-that-return-100-to-1-and-how-to-find-them-original-imagcg42gtgrmhgn.jpeg,,,,,,,,,,,1,2022,226,,,,,,,Reference,"Economics, Business and Management Books"
101 Essays that Will Change the Way You Think + Deep Work,9782575769810,101 Essays that Will Change the Way You Think + Deep Work (2 Book Combo),JMD BOOKS,JMD BOOKS,Paperback,English,Other Self-Help Books,https://img.fkcdn.com/image/xif0q/book/x/w/n/101-essays-that-will-change-the-way-you-think-deep-work-2-book-original-imahc6w3muyppa6x.jpeg,,,,,,,,,,,,,,,,,,,,,Other Books
"30 DAYS Change Your Habits, Change Your Life ( Marathi )",9789352203109,"30 DAYS Change Your Habits, Change Your Life ( Marathi )",Shubhangi Ranade - Bindu,Saket Prakashan,Paperback,Marathi,Other Books,https://img.fkcdn.com/image/kmjhw280/book/w/e/t/30-days-change-your-habits-change-your-life-marathi-original-imagffgafpggb9kx.jpeg,https://img.fkcdn.com/image/kmjhw280/book/2/1/v/30-days-change-your-habits-change-your-life-marathi-original-imagffganpj77ymw.jpeg,,,,,,,,,,1,,248,,,,,,,,Self-Help Books
4 Book Set by Freida McFadden ,9787530062685,4 Book Set by Freida McFadden ( One By One & The Perfect Son & The Ex & Ward D ),Freida McFadden,Ans Ind,Paperback,English,Fiction Books,https://img.fkcdn.com/image/xif0q/book/g/g/l/4-book-set-by-freida-mcfadden-one-by-one-the-perfect-son-the-ex-original-imahcqzg8bwfceav.jpeg,,,,,,,,,,,first,,,Fiction,,,,,,,Other Books
Gentleman in Moscow. English  Paperback,9781524708696,A Gentleman in Moscow,Towles Amor,Diversified Publishing,Paperback,English,General Fiction Books,https://img.fkcdn.com/image/xif0q/book/z/k/d/a-gentleman-in-moscow-original-imaghpdgvxg54nyr.jpeg,,,,,,,,,,,,,736,Fiction,,9781524708696,,,,Fiction,Fiction Books
A Gentleman in Moscow,9786353648540,"A Gentleman in Moscow Paperback – Notebook, 2 November 2017
by Amor Towles (Author)",Amor Towles,Windmill sBooks,Paperback,English,Other Books,https://img.fkcdn.com/image/xif0q/book/3/c/r/a-gentleman-in-moscow-paperback-notebook-2-november-2017-by-amor-original-imahyy9wusn87zte.jpeg,,,,,,,,,,,,,,,,,,,,,Other Books
